zipcode,population density (per sq mile),population
10028,146955.3,46169
10128,132677.4,62447
10075,132095.7,24377
10025,129548.9,97373
10023,123875.9,60762
10040,120133.3,45278
10026,115461.7,38372
10162,110137.5,1252
10021,108864.6,42142
10030,105863.1,29530
10005,102965.2,7570
10009,100237.0,61806
10033,100108.6,60520
10003,98998.8,57068
10029,94363.1,77857
10016,94164.6,50112
10002,90849.3,79894
10031,90523.6,58912
10456,90074.7,91737
10032,89842.8,59069
11109,86656.0,4337
10453,85787.3,79002
11372,85703.2,63202
10065,82215.9,31761
10011,80408.9,52941
10010,78604.4,30708
10012,76855.1,24846
10452,76427.7,75252
11226,76237.1,98299
10458,75597.1,76276
10027,72357.3,63057
10038,70556.6,20997
10024,69066.6,59249
10037,68340.7,18041
11104,68090.0,26555
10022,68058.9,29699
10282,67476.6,5903
11225,67444.4,59613
10457,66913.8,71015
11219,66609.4,98719
10468,66519.9,72683
10472,66309.0,69659
11373,65936.5,100713
10280,63671.9,8817
11221,60559.1,83773
10459,59083.4,48269
11216,58197.9,54440
11206,57987.2,83180
11213,57520.9,62756
11212,57057.9,87751
10019,56986.1,38752
11220,56785.4,101715
10455,56097.4,39951
10039,56042.6,25952
10014,55901.7,31835
11237,55400.8,55258
10036,54427.5,24127
11103,53801.6,38257
10069,53018.6,5523
11218,52602.7,75132
11233,51663.6,69637
10462,51271.5,76114
11217,51150.5,38567
10017,50847.0,16278
11204,50567.5,80349
10044,49860.2,12050
10013,48772.7,26937
11355,48298.2,83799
11230,47323.0,87064
10451,47063.6,47818
11238,46994.1,51959
11205,45618.8,43320
10463,45091.8,71238
11374,44728.9,41792
10460,44604.3,58676
11106,44344.0,38633
11102,43215.0,35027
11419,42831.5,48370
10467,42589.3,99251
11368,41367.1,110385
10007,41282.4,6748
11210,40852.4,67042
11214,40359.9,88297
11211,39908.0,94681
13024,39701.2,1649
11201,39596.1,56488
11416,39018.0,25973
10034,37885.9,42672
11369,37337.7,39862
10454,37176.2,38751
11223,36953.7,76651
11229,36715.2,81351
10001,36638.7,22767
11435,35998.7,54523
11203,35892.5,77011
11375,35171.0,69652
11207,34994.6,93465
11377,34924.5,88939
10466,34477.3,69657
11209,33569.8,72582
11415,33477.1,19020
11421,33185.4,42745
11549,32301.3,2337
10006,32132.0,2950
11215,31902.9,70156
11228,31333.9,46059
11235,31000.3,75622
10469,29168.0,72241
11432,29032.7,62395
11417,28199.3,31556
11385,27472.6,100132
10473,27434.5,59948
11224,27032.2,42698
11236,26919.9,97714
11208,26694.6,92262
11354,25657.8,56433
11370,25497.3,36271
10018,25054.8,8062
10035,24895.7,34760
11428,24574.3,20461
10475,24496.2,44582
11433,24438.2,37927
11420,24139.5,50162
11231,23800.0,34605
11436,23620.5,18609
11232,22943.8,29452
11412,22891.5,37690
11423,22718.1,32053
11105,22559.5,36816
11418,22504.5,36751
11239,22228.3,12943
10461,21850.8,52435
11691,21824.8,62577
11222,21534.9,34580
11429,21141.0,27506
11434,19743.0,65255
11358,19305.3,37634
10550,18716.3,37421
10601,18198.3,11524
10705,17807.3,39817
14627,17550.6,2703
11379,17220.9,35725
11365,17155.7,43138
11361,17077.7,30352
11692,16821.4,17970
11411,16406.0,19177
11367,16209.8,41582
11422,15915.9,32589
11694,15742.2,21507
11356,15145.9,23800
10302,15106.6,18043
10308,15069.7,29805
11427,14883.0,23460
11004,14782.4,14045
10553,14510.9,10032
11357,14486.2,40588
11426,14342.2,19348
11364,14153.3,34902
10701,14115.9,59628
11360,13974.8,19916
10310,13767.7,24719
10465,13517.1,46360
11550,13416.8,57224
11413,13307.1,41689
10552,12240.3,20339
11001,12105.7,27156
11414,12045.1,28742
10801,12022.9,41265
11794,12011.8,3317
11366,12009.8,13146
10703,11859.2,20894
14201,11823.2,12872
11378,11820.8,30854
11005,11635.1,2123
10503,11571.8,172
14853,11511.2,2883
10606,11447.6,17293
11234,11415.9,95610
11693,11370.4,11338
14222,11305.5,14519
10704,11108.0,31198
12222,10890.2,5966
10805,10819.6,18898
10304,10783.5,41864
10301,10740.7,39367
11003,10732.7,44907
11580,10586.9,41525
11010,10548.5,25054
10470,10433.3,14880
14619,10426.8,15237
12210,10138.9,9147
14213,9880.3,23468
10305,9698.0,41471
12307,9694.6,6951
13203,9670.3,16437
14607,9598.3,16159
11563,9589.2,22984
14209,9406.9,8597
11501,9347.4,19155
11575,9310.6,16674
11101,9268.2,25317
11561,8807.1,37599
11363,8778.8,7625
13902,8667.7,6172
11516,8601.3,7513
11040,8479.3,40799
10471,8459.8,21935
14621,8169.2,34576
10707,8104.3,10525
14215,8086.2,39786
11596,7987.6,10638
10474,7972.4,12223
11520,7913.0,43632
14208,7910.3,10918
11565,7901.1,8820
14216,7872.4,22203
10312,7812.7,61105
14301,7754.2,12965
11726,7735.1,21102
10303,7691.5,24348
11756,7632.3,42321
10307,7621.6,15006
11553,7552.5,26506
14605,7504.4,13737
11570,7413.3,27896
12206,7398.2,15757
11762,7348.7,23053
11021,7337.1,17478
10708,7305.4,22497
10306,7287.3,54888
11581,7209.6,20956
14217,7133.4,22911
11362,6994.5,17897
11510,6954.6,33430
10573,6929.1,38656
14214,6910.6,19743
11590,6861.3,45972
11518,6762.0,10065
14608,6755.8,12377
12604,6695.1,660
11507,6690.4,7224
14223,6672.1,22901
12308,6568.3,15187
14613,6556.5,12212
10709,6448.4,9347
11710,6363.1,35151
14220,6349.8,24525
11757,6320.4,44923
11552,6234.4,22949
11598,6108.1,12927
13210,6107.4,27905
10314,6095.5,87524
14611,6093.9,17773
11801,5985.9,39805
11554,5980.9,37513
14207,5935.6,23285
11783,5916.8,21170
10927,5883.7,12060
11514,5793.9,5197
13202,5759.3,5745
14212,5754.4,10974
10803,5701.4,12523
10710,5657.8,27388
14620,5616.7,25689
10119,5591.7,92
11023,5584.0,9955
12209,5524.4,11844
11572,5513.4,28901
14609,5465.6,44103
10977,5456.0,60650
13205,5446.4,18788
10603,5443.8,17924
11717,5441.6,59449
10004,5402.4,3024
11714,5391.3,23313
13208,5388.1,22490
11566,5274.4,33791
10566,5183.9,23875
11701,5169.8,27423
14211,5160.2,20885
11703,5138.1,16249
11722,5099.1,37181
12208,5097.2,21417
14204,4957.9,8905
10309,4937.6,33382
11704,4922.9,40685
14616,4819.2,28638
11758,4811.8,55900
11784,4810.7,26312
11579,4753.2,5336
10543,4743.9,20250
14261,4739.6,5680
11803,4689.5,28445
11096,4650.6,7884
10538,4609.4,16803
10952,4547.5,41619
10522,4527.3,11001
13204,4495.6,19984
14206,4465.4,21670
11729,4372.0,27409
13501,4367.1,38464
10923,4347.6,8705
14604,4307.9,1651
10993,4282.6,5069
11558,4280.6,8646
13207,4256.3,13352
11577,4197.6,12788
11795,4172.4,25536
14210,4139.5,13787
14226,4134.2,28593
14445,4129.4,7892
14802,4095.2,4260
14614,4068.6,1136
13206,4051.4,15997
11542,4010.3,27691
12202,3991.9,9066
11950,3976.9,16969
11530,3951.2,28155
10968,3931.0,2301
11741,3828.5,28651
11755,3804.0,12329
10960,3728.2,15637
11776,3721.5,25675
11767,3650.5,15259
11706,3605.9,65865
11720,3603.4,29374
12801,3565.9,14574
10605,3471.6,17671
11731,3457.7,28969
10954,3438.9,23678
11557,3402.0,7364
11793,3348.6,32710
14778,3340.6,1388
11709,3335.1,6724
10804,3332.3,14850
10528,3322.9,12720
11738,3308.3,17643
11727,3295.5,29987
12304,3293.3,22537
11569,3289.8,1284
10530,3240.5,12431
11718,3220.7,3117
11798,3220.2,15362
10583,3186.2,39510
11751,3177.1,14679
12929,3172.9,3778
14610,3116.3,13679
12305,3109.7,4923
11735,3102.3,32499
13219,3076.8,15318
11020,3039.9,6120
10706,3018.2,8734
10607,3012.9,6727
11779,3005.7,38733
11753,2995.0,11657
14606,2970.5,29076
13224,2942.7,8767
11725,2935.9,28646
14202,2935.1,3570
11789,2920.8,7659
12085,2887.7,507
11746,2871.5,68580
14617,2812.3,22776
14168,2800.7,111
10983,2800.4,5727
14225,2799.8,33228
12183,2797.8,2612
14150,2792.2,41908
14043,2792.1,24267
13088,2762.1,22012
11796,2740.0,4012
10965,2732.8,14878
11772,2720.1,45262
13475,2713.3,41
12189,2697.0,17675
12203,2696.1,30926
11782,2682.1,15045
14615,2670.6,15579
14227,2651.8,22950
13116,2643.7,3492
11742,2643.6,13229
13495,2640.0,2304
10532,2628.3,4906
14904,2587.9,15411
13410,2579.6,255
11050,2566.1,30583
11740,2564.3,9507
11715,2555.1,4335
11576,2551.4,12325
11030,2545.6,17295
10502,2545.1,5396
11548,2544.8,2328
11790,2535.4,18627
11752,2502.5,9351
14303,2472.2,6073
14720,2460.1,603
13214,2439.9,8938
11732,2403.1,3671
10596,2396.1,1629
10523,2371.3,8563
14221,2350.6,54109
11787,2316.3,36357
10517,2303.0,756
11754,2294.5,19201
10591,2276.3,23037
13417,2242.9,2925
12601,2233.8,42608
11967,2221.6,27115
12417,2214.3,762
14218,2210.1,18943
14618,2197.8,21367
10562,2194.4,31453
14626,2175.2,29735
14905,2165.1,9414
14622,2162.2,12042
14112,2127.8,85
11763,2109.9,29217
12466,2100.4,2180
10996,2097.7,6892
14305,2090.0,17249
11705,2088.2,7571
10533,2074.2,7484
10594,2073.2,5201
14068,2061.2,7131
13090,1994.5,30295
13643,1988.2,72
11509,1979.0,2232
14224,1968.9,40002
10976,1965.7,2266
12047,1957.8,20086
13603,1954.8,10727
10580,1947.3,17322
12303,1941.0,29906
10984,1937.3,3117
13212,1920.8,20348
10570,1909.8,12592
11791,1902.4,25213
11024,1888.8,7789
11788,1884.3,16167
10956,1880.3,31090
12903,1871.1,1086
11713,1853.9,9530
11697,1836.9,4078
10989,1811.7,10113
11769,1804.9,8716
14302,1799.0,25
14514,1787.5,6719
14612,1749.2,34668
11547,1747.9,797
11804,1732.1,5000
12205,1724.2,27395
12309,1717.4,29992
12130,1716.9,1025
14109,1716.7,813
11951,1712.5,13401
10920,1685.8,8682
11797,1676.7,8645
11766,1671.8,12718
10537,1665.6,1952
12204,1653.9,7277
11721,1645.5,6482
11559,1639.8,8402
13062,1621.0,303
13103,1612.8,575
13352,1589.0,293
11934,1564.1,7929
11778,1558.7,12747
11739,1548.6,1421
10511,1542.3,2349
11702,1530.7,14512
12550,1530.3,54903
11749,1528.9,3346
14504,1528.4,1739
11730,1519.0,14204
11747,1503.8,19793
11743,1496.8,43533
14219,1482.0,10912
11777,1461.2,9448
13211,1447.8,6819
12110,1442.8,21837
12211,1431.5,11503
13321,1426.4,1175
10604,1413.1,11397
14585,1393.4,69
10979,1379.3,201
14228,1356.3,21887
12508,1349.1,19742
14120,1347.1,44800
14623,1336.4,26003
10913,1335.8,5657
12603,1333.3,43411
13461,1325.0,3072
10547,1313.1,6913
13319,1313.1,1164
10548,1307.9,3214
14722,1297.6,430
10950,1289.6,48838
14304,1289.3,28605
14450,1289.0,41414
10901,1282.7,23195
14624,1278.2,35918
14625,1276.2,9990
11716,1268.4,11134
12803,1262.9,8093
10464,1261.2,4532
11764,1252.6,12969
14441,1245.8,444
10595,1245.5,8577
10588,1244.8,2518
12207,1238.1,1506
12456,1230.8,690
14526,1229.0,20609
11953,1227.9,12688
14051,1227.2,20133
12471,1209.3,672
10505,1203.3,785
14756,1196.1,164
12084,1180.9,4281
12065,1177.2,42249
13157,1170.5,718
14788,1164.3,245
10915,1163.8,168
14580,1140.3,50946
14774,1122.8,200
14592,1121.2,187
10535,1120.8,573
12054,1107.4,17139
10589,1102.3,9376
11545,1101.4,12653
14588,1075.6,259
14075,1073.9,42837
10545,1072.0,135
10994,1068.2,6931
14539,1063.0,225
14827,1055.7,95
13677,1055.1,240
12182,1043.4,14937
13435,1041.8,217
14169,1038.1,320
12144,1037.4,20244
10510,1034.9,10391
11733,1028.8,17065
10546,1018.6,1149
13209,1016.7,13047
14586,1010.0,11452
10598,1009.7,29699
13905,1009.5,27543
12590,1004.4,35148
10514,997.3,12915
14534,993.6,32399
10541,993.1,26355
12553,992.7,25395
14085,979.9,7167
11780,976.0,15099
12524,973.9,15984
12565,969.7,1450
14742,957.4,215
10507,956.8,7039
12180,951.2,53218
14026,945.8,712
14086,942.7,32159
11961,934.6,12041
13341,934.0,172
10577,928.8,6269
10962,923.8,5677
12177,920.6,596
11042,919.3,542
13628,907.4,211
11955,902.1,2780
13760,898.3,44585
10567,894.1,20197
14480,890.0,1166
14467,886.7,9784
11940,880.4,4982
11786,879.1,6550
12432,871.3,530
10520,870.3,13107
12449,868.1,3301
12527,861.2,134
12453,845.3,417
11946,838.8,13312
10992,838.2,9324
11560,830.5,6334
11768,820.2,21687
10549,815.3,16165
13413,813.1,16227
12188,792.9,11138
11970,791.5,466
13901,789.3,19006
13039,785.7,17759
13492,776.4,11710
10925,775.0,4300
13066,773.6,11809
10501,765.9,1073
12520,765.1,3042
13362,753.6,208
14126,751.7,685
11941,745.1,1929
13647,744.7,68
14752,737.7,185
14127,736.0,30329
10940,735.4,48512
10928,731.1,4029
14035,731.0,167
10933,726.3,797
14072,725.9,20580
12979,715.7,2433
12722,714.9,199
11792,710.7,8941
12150,707.2,842
11724,703.6,2853
12172,701.8,310
12574,698.8,352
10964,693.7,1711
10970,689.0,9716
14854,659.0,15
11771,643.9,9344
12302,638.4,27809
13163,636.6,342
10930,636.3,8938
13031,631.1,15345
12077,618.3,6481
14425,611.1,11415
13790,610.6,17858
10922,598.7,1406
13502,598.3,32415
13041,589.8,11023
12518,589.0,5889
12884,588.2,293
14092,588.1,11595
10926,582.9,3256
12306,582.6,25494
12401,581.4,34752
12198,579.0,7723
11944,575.4,4338
12159,557.4,7878
12504,551.6,1260
10980,549.6,13746
11719,549.4,3372
13051,547.3,129
11972,535.0,1295
14893,529.5,12
13138,528.8,21
13859,527.4,269
12533,525.4,25936
12866,524.1,37268
12538,523.0,13900
10917,522.9,1959
12027,518.6,3731
13057,518.4,14547
14850,517.6,65647
14031,512.3,9710
10921,509.1,4138
11901,508.4,30631
10590,501.2,7026
12586,499.2,12035
10509,497.0,19605
12411,497.0,475
12019,496.5,14893
14537,484.8,164
11948,483.3,1315
12061,481.5,9747
14048,480.7,14718
12804,478.1,26477
12008,477.1,480
14506,476.2,1374
11568,475.2,4240
13087,474.2,177
13134,472.5,39
10527,471.4,1156
12582,467.6,6165
13903,467.3,18735
14047,466.6,6596
14203,460.5,1751
13113,458.3,238
13102,455.1,27
14173,454.3,263
13027,453.7,31724
13215,453.5,15409
10526,448.2,1714
14901,446.1,17019
12118,441.9,14569
12472,441.1,1646
11977,440.4,2570
12933,438.6,12
14701,434.1,40232
10504,433.0,7885
11942,430.1,4092
10518,429.7,1505
14559,428.7,18336
13664,428.3,439
12901,428.2,32843
13838,426.9,4450
11963,426.6,6811
13850,424.6,22080
10512,422.3,25467
10173,421.2,2
10941,421.2,13572
12839,421.0,13784
11971,420.0,6376
12542,419.5,6088
13029,414.6,7506
14094,414.2,50605
13904,413.0,9626
11949,411.8,14340
12486,408.0,1461
12020,405.1,31729
13305,403.4,387
10919,398.3,1647
12771,397.0,14041
10165,396.7,2
13616,393.9,2184
14102,391.3,1494
12821,388.3,2178
14750,388.2,4309
10536,385.4,10725
11960,379.4,744
12045,372.5,325
13115,371.0,172
13440,369.5,42221
11980,366.8,4856
14059,365.1,9834
14006,363.8,9612
13602,363.4,3633
13162,357.9,637
11952,357.0,4518
12911,356.8,49
13357,356.0,11280
12196,354.9,3214
10918,350.7,11700
10199,349.3,9
12563,347.0,8106
12570,345.9,7533
13104,343.9,16266
14061,342.4,328
10924,340.8,13153
14564,340.6,14382
14420,339.9,20638
14032,338.4,7853
10578,336.2,589
13126,335.6,37190
12063,335.2,479
13421,335.1,14106
14020,332.8,23120
12482,329.7,729
10963,329.6,4219
11968,326.8,10718
13021,326.6,39326
14468,326.5,18271
13350,325.5,10080
12733,324.3,1666
12051,324.1,7030
10990,323.2,20029
14903,321.1,6805
10506,319.9,5303
12041,316.0,500
10597,314.4,1128
10974,314.1,3166
10103,313.6,3
12528,312.0,13066
10973,310.4,2646
13020,310.1,145
12589,307.1,18005
12561,305.3,18423
10988,300.3,947
12759,298.1,1910
12569,297.3,9990
12751,297.3,1154
14513,296.9,14001
13323,295.1,11238
13615,289.9,1114
12512,288.5,129
11935,287.6,3263
14063,286.9,14555
13748,286.0,3907
13692,285.8,78
14502,285.2,10698
12033,284.8,7886
13469,284.4,1163
14519,283.6,11594
11556,283.5,17
12477,283.3,18797
14760,283.3,18208
12549,283.2,11138
13030,282.8,3792
13784,282.2,132
13045,280.7,30009
12547,280.0,2947
13403,279.9,7579
14052,275.1,17072
14568,272.2,6465
12124,272.0,718
10579,271.1,9264
11765,269.3,745
13601,267.3,38348
14856,265.2,100
12143,261.7,5104
12148,261.6,4428
14845,261.3,20961
13078,260.8,10273
12754,259.9,6952
12831,258.4,17614
12089,258.1,140
12515,255.4,1284
14004,254.6,12284
14456,254.1,19865
12577,253.2,1526
12151,251.2,684
12543,251.0,3035
12872,249.1,76
14132,246.9,6933
13313,246.6,555
12086,245.4,1503
13732,240.0,8101
13424,238.9,2663
12779,235.6,2109
10519,235.2,181
11770,233.6,102
